plane u v itype x0 y0 irot nvertices vx_0 vy_0 vx_1 vy_1 vx_2 vy_2 vx_3 vy_3 vx_4 vy_4 vx_5 vy_5 vx_6 vy_6 icassette_0 icassette_1 trigRate trigLinks dataRate_ld dataLinks_ld dataRate_hd dataLinks_hd MB wagon isEngine nROCs power mrot phi HDorLD
1 2 9 FO -418.600 1305.070 0 6 -418.600 1208.400 -334.900 1256.700 -334.900 1353.400 -418.600 1401.700 -502.300 1353.400 -502.300 1256.700 -418.600 1208.400 0 0 0 0 0 0 0 0 -1 -1 False 3 3.600 0 107.784 False
1 3 9 FO -251.160 1305.070 0 6 -251.200 1208.400 -167.400 1256.700 -167.400 1353.400 -251.200 1401.700 -334.900 1353.400 -334.900 1256.700 -251.200 1208.400 0 0 0 0 0 0 0 0 -1 -1 False 3 3.600 0 100.893 False
1 4 9 FO -83.720 1305.070 0 6 -83.700 1208.400 0.000 1256.700 0.000 1353.400 -83.700 1401.700 -167.400 1353.400 -167.400 1256.700 -83.700 1208.400 0 0 0 0 0 0 0 0 -1 -1 False 3 3.600 0 93.670 False
1 5 9 FO 83.720 1305.070 0 6 83.700 1208.400 167.400 1256.700 167.400 1353.400 83.700 1401.700 0.000 1353.400 0.000 1256.700 83.700 1208.400 0 0 0 0 0 0 0 0 -1 -1 False 3 3.600 0 86.330 False
1 6 9 FO 251.160 1305.070 0 6 251.200 1208.400 334.900 1256.700 334.900 1353.400 251.200 1401.700 167.400 1353.400 167.400 1256.700 251.200 1208.400 0 0 0 0 0 0 0 0 -1 -1 False 3 3.600 0 79.107 False
1 7 9 FO 418.600 1305.070 0 6 418.600 1208.400 502.300 1256.700 502.300 1353.400 418.600 1401.700 334.900 1353.400 334.900 1256.700 418.600 1208.400 0 0 0 0 0 0 0 0 -1 -1 False 3 3.600 0 72.216 False
1 8 9 FOe 586.040 1305.070 0 6 586.000 1208.400 669.800 1256.700 669.800 1353.400 586.000 1401.700 502.300 1353.400 502.300 1256.700 586.000 1208.400 0 0 0 0 0 0 0 0 -1 -1 False 3 3.600 0 65.818 False
1 2 0 gIe 334.880 0.000 3 6 334.900 96.700 316.000 85.800 316.000 -85.800 334.900 -96.700 418.600 -48.300 418.600 48.300 334.900 96.700 0 0 0 0 0 0 0 0 -1 -1 False 6 7.200 0 0.000 True
1 2 1 dIe 251.160 145.010 3 5 251.200 241.700 232.300 230.800 316.000 85.800 334.900 96.700 334.900 193.300 251.200 241.700 0.000 0.000 0 0 0 0 0 0 0 0 -1 -1 False 3 3.600 0 30.000 True
1 1 2 dIe 0.000 290.020 4 5 -83.700 338.400 -83.700 316.600 83.700 316.600 83.700 338.400 0.000 386.700 -83.700 338.400 0.000 0.000 0 0 0 0 0 0 0 0 -1 -1 False 3 3.600 0 90.000 True
1 2 2 gIe 167.440 290.020 4 6 83.700 338.400 83.700 316.600 232.300 230.800 251.200 241.700 251.200 338.400 167.400 386.700 83.700 338.400 0 0 0 0 0 0 0 0 -1 -1 False 6 7.200 0 60.000 True
1 9 0 cOe 1506.970 0.000 5 3 1423.200 -48.300 1507.000 96.700 1423.200 48.300 1423.200 -48.300 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0 0 0 0 0 0 -1 -1 False 3 3.600 0 0.000 False
1 10 2 cOe 1506.970 290.020 0 3 1507.000 193.300 1423.200 338.400 1423.200 241.700 1507.000 193.300 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0 0 0 0 0 0 -1 -1 False 3 3.600 0 10.894 False
1 10 3 aOe 1423.250 435.020 0 4 1423.200 338.400 1423.200 531.700 1339.500 483.400 1339.500 386.700 1423.200 338.400 0.000 0.000 0.000 0.000 0 0 0 0 0 0 0 0 -1 -1 False 3 3.600 0 16.996 False
1 10 4 bOe 1339.530 580.030 1 5 1423.200 531.700 1339.500 676.700 1255.800 628.400 1255.800 531.700 1339.500 483.400 1423.200 531.700 0.000 0.000 0 0 0 0 0 0 0 0 -1 -1 False 3 3.600 0 23.413 False
1 10 5 dOe 1255.810 725.040 0 5 1255.800 628.400 1297.700 652.500 1213.900 797.500 1172.100 773.400 1172.100 676.700 1255.800 628.400 0.000 0.000 0 0 0 0 0 0 0 0 -1 -1 False 2 2.400 0 30.000 False
1 10 6 bOe 1172.090 870.050 1 5 1255.800 821.700 1172.100 966.700 1088.400 918.400 1088.400 821.700 1172.100 773.400 1255.800 821.700 0.000 0.000 0 0 0 0 0 0 0 0 -1 -1 False 3 3.600 0 36.587 False
1 10 7 aOe 1088.370 1015.060 1 4 1172.100 966.700 1004.600 1063.400 1004.600 966.700 1088.400 918.400 1172.100 966.700 0.000 0.000 0.000 0.000 0 0 0 0 0 0 0 0 -1 -1 False 3 3.600 0 43.004 False
1 9 8 bOe 837.200 1160.060 2 5 920.900 1208.400 753.500 1208.400 753.500 1111.700 837.200 1063.400 920.900 1111.700 920.900 1208.400 0.000 0.000 0 0 0 0 0 0 0 0 -1 -1 False 3 3.600 0 54.183 False
1 10 8 cOe 1004.640 1160.060 0 3 1004.600 1063.400 920.900 1208.400 920.900 1111.700 1004.600 1063.400 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0 0 0 0 0 0 -1 -1 False 3 3.600 0 49.107 False
1 1 9 bOe -586.040 1305.070 3 5 -586.000 1401.700 -669.800 1256.700 -586.000 1208.400 -502.300 1256.700 -502.300 1353.400 -586.000 1401.700 0.000 0.000 0 0 0 0 0 0 0 0 -1 -1 False 3 3.600 0 114.182 False
1 9 9 cOe 753.480 1305.070 0 3 753.500 1208.400 669.800 1353.400 669.800 1256.700 753.500 1208.400 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0 0 0 0 0 0 -1 -1 False 3 3.600 0 60.000 False
1 2 10 cOe -502.320 1450.080 1 3 -418.600 1401.700 -586.000 1401.700 -502.300 1353.400 -418.600 1401.700 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0 0 0 0 0 0 -1 -1 False 3 3.600 0 109.107 False
1 3 10 aOe -334.880 1450.080 2 4 -251.200 1498.400 -418.600 1401.700 -334.900 1353.400 -251.200 1401.700 -251.200 1498.400 0.000 0.000 0.000 0.000 0 0 0 0 0 0 0 0 -1 -1 False 3 3.600 0 103.004 False
1 4 10 bOe -167.440 1450.080 2 5 -83.700 1498.400 -251.200 1498.400 -251.200 1401.700 -167.400 1353.400 -83.700 1401.700 -83.700 1498.400 0.000 0.000 0 0 0 0 0 0 0 0 -1 -1 False 3 3.600 0 96.587 False
1 5 10 dOe 0.000 1450.080 1 5 83.700 1401.700 83.700 1450.100 -83.700 1450.100 -83.700 1401.700 -0.000 1353.400 83.700 1401.700 0.000 0.000 0 0 0 0 0 0 0 0 -1 -1 False 2 2.400 0 90.000 False
1 6 10 bOe 167.440 1450.080 2 5 251.200 1498.400 83.700 1498.400 83.700 1401.700 167.400 1353.400 251.200 1401.700 251.200 1498.400 0.000 0.000 0 0 0 0 0 0 0 0 -1 -1 False 3 3.600 0 83.413 False
1 7 10 aOe 334.880 1450.080 1 4 418.600 1401.700 251.200 1498.400 251.200 1401.700 334.900 1353.400 418.600 1401.700 0.000 0.000 0.000 0.000 0 0 0 0 0 0 0 0 -1 -1 False 3 3.600 0 76.996 False
1 8 10 cOe 502.320 1450.080 1 3 586.000 1401.700 418.600 1401.700 502.300 1353.400 586.000 1401.700 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0 0 0 0 0 0 -1 -1 False 3 3.600 0 70.893 False
2 3 0 FI 502.320 0.000 0 6 502.300 -96.700 586.000 -48.300 586.000 48.300 502.300 96.700 418.600 48.300 418.600 -48.300 502.300 -96.700 0 0 0 0 0 0 0 0 -1 -1 False 6 7.200 0 0.000 True
2 4 0 FI 669.760 0.000 0 6 669.800 -96.700 753.500 -48.300 753.500 48.300 669.800 96.700 586.000 48.300 586.000 -48.300 669.800 -96.700 0 0 0 0 0 0 0 0 -1 -1 False 6 7.200 0 0.000 True
2 5 0 FM 837.200 0.000 0 6 837.200 -96.700 920.900 -48.300 920.900 48.300 837.200 96.700 753.500 48.300 753.500 -48.300 837.200 -96.700 0 0 0 0 0 0 0 0 -1 -1 False 3 3.600 0 0.000 False
2 6 0 FO 1004.640 0.000 0 6 1004.600 -96.700 1088.400 -48.300 1088.400 48.300 1004.600 96.700 920.900 48.300 920.900 -48.300 1004.600 -96.700 0 0 0 0 0 0 0 0 -1 -1 False 3 3.600 0 0.000 False
2 7 0 FO 1172.090 0.000 0 6 1172.100 -96.700 1255.800 -48.300 1255.800 48.300 1172.100 96.700 1088.400 48.300 1088.400 -48.300 1172.100 -96.700 0 0 0 0 0 0 0 0 -1 -1 False 3 3.600 0 0.000 False
2 8 0 FOe 1339.530 0.000 0 6 1339.500 -96.700 1423.200 -48.300 1423.200 48.300 1339.500 96.700 1255.800 48.300 1255.800 -48.300 1339.500 -96.700 0 0 0 0 0 0 0 0 -1 -1 False 3 3.600 0 0.000 False
2 3 1 FI 418.600 145.010 0 6 418.600 48.300 502.300 96.700 502.300 193.300 418.600 241.700 334.900 193.300 334.900 96.700 418.600 48.300 0 0 0 0 0 0 0 0 -1 -1 False 6 7.200 0 19.107 True
2 4 1 FI 586.040 145.010 0 6 586.000 48.300 669.800 96.700 669.800 193.300 586.000 241.700 502.300 193.300 502.300 96.700 586.000 48.300 0 0 0 0 0 0 0 0 -1 -1 False 6 7.200 0 13.898 True
